Ref,Val,Package,PosX,PosY,Rot,Side
"C101","10u/16V X7R","C_1210_3225Metric",30.800000,-12.000000,90.000000,top
"C102","1200p/50V C0G","C_0805_2012Metric",42.200000,-12.000000,90.000000,top
"C121","100p/50V C0G","C_0805_2012Metric",60.800000,-12.000000,90.000000,top
"C131","150n/50V X7R","C_0805_2012Metric",80.000000,-12.000000,90.000000,top
"C141","56n/50V X7R","C_0805_2012Metric",29.000000,-71.720000,90.000000,top
"C142","22n/50V X7R","C_0805_2012Metric",32.799999,-71.720000,90.000000,top
"C151","470n/50V X7R","C_0805_2012Metric",81.800000,-71.720000,90.000000,top
"C152","1200p/50V C0G","C_0805_2012Metric",58.000000,-127.440000,90.000000,top
"C201","10u/16V X7R","C_1210_3225Metric",30.800000,-19.620000,90.000000,top
"C202","1200p/50V C0G","C_0805_2012Metric",42.200000,-19.620000,90.000000,top
"C221","100p/50V C0G","C_0805_2012Metric",60.800000,-19.620000,90.000000,top
"C231","150n/50V X7R","C_0805_2012Metric",80.000000,-19.620000,90.000000,top
"C241","56n/50V X7R","C_0805_2012Metric",29.000000,-79.340000,90.000000,top
"C242","22n/50V X7R","C_0805_2012Metric",32.799999,-79.340000,90.000000,top
"C251","470n/50V X7R","C_0805_2012Metric",81.800000,-79.340000,90.000000,top
"C252","1200p/50V C0G","C_0805_2012Metric",58.000000,-131.440000,90.000000,top
"C301","10u/16V X7R","C_1210_3225Metric",30.800000,-27.240000,90.000000,top
"C302","1200p/50V C0G","C_0805_2012Metric",42.200000,-27.240000,90.000000,top
"C321","100p/50V C0G","C_0805_2012Metric",60.800000,-27.240000,90.000000,top
"C331","150n/50V X7R","C_0805_2012Metric",80.000000,-27.240000,90.000000,top
"C341","56n/50V X7R","C_0805_2012Metric",29.000000,-86.960000,90.000000,top
"C342","22n/50V X7R","C_0805_2012Metric",32.799999,-86.960000,90.000000,top
"C351","470n/50V X7R","C_0805_2012Metric",81.800000,-86.960000,90.000000,top
"C352","1200p/50V C0G","C_0805_2012Metric",58.000000,-135.440000,90.000000,top
"C401","10u/16V X7R","C_1210_3225Metric",30.800000,-34.860000,90.000000,top
"C402","1200p/50V C0G","C_0805_2012Metric",42.200000,-34.860000,90.000000,top
"C421","100p/50V C0G","C_0805_2012Metric",60.800000,-34.860000,90.000000,top
"C431","150n/50V X7R","C_0805_2012Metric",80.000000,-34.860000,90.000000,top
"C441","56n/50V X7R","C_0805_2012Metric",29.000000,-94.580000,90.000000,top
"C442","22n/50V X7R","C_0805_2012Metric",32.799999,-94.580000,90.000000,top
"C451","470n/50V X7R","C_0805_2012Metric",81.800000,-94.580000,90.000000,top
"C452","1200p/50V C0G","C_0805_2012Metric",58.000000,-139.440000,90.000000,top
"C501","10u/16V X7R","C_1210_3225Metric",30.800000,-42.480000,90.000000,top
"C502","1200p/50V C0G","C_0805_2012Metric",42.200000,-42.480000,90.000000,top
"C521","100p/50V C0G","C_0805_2012Metric",60.800000,-42.480000,90.000000,top
"C531","150n/50V X7R","C_0805_2012Metric",80.000000,-42.480000,90.000000,top
"C541","56n/50V X7R","C_0805_2012Metric",29.000000,-102.200000,90.000000,top
"C542","22n/50V X7R","C_0805_2012Metric",32.799999,-102.200000,90.000000,top
"C551","470n/50V X7R","C_0805_2012Metric",81.800000,-102.200000,90.000000,top
"C552","1200p/50V C0G","C_0805_2012Metric",58.000000,-143.440000,90.000000,top
"C601","10u/16V X7R","C_1210_3225Metric",30.800000,-50.100000,90.000000,top
"C602","1200p/50V C0G","C_0805_2012Metric",42.200000,-50.100000,90.000000,top
"C621","100p/50V C0G","C_0805_2012Metric",60.800000,-50.100000,90.000000,top
"C631","150n/50V X7R","C_0805_2012Metric",80.000000,-50.100000,90.000000,top
"C641","56n/50V X7R","C_0805_2012Metric",29.000000,-109.820000,90.000000,top
"C642","22n/50V X7R","C_0805_2012Metric",32.799999,-109.820000,90.000000,top
"C651","470n/50V X7R","C_0805_2012Metric",81.800000,-109.820000,90.000000,top
"C652","1200p/50V C0G","C_0805_2012Metric",58.000000,-147.440000,90.000000,top
"C701","100n/50V X7R","C_0805_2012Metric",8.000000,-143.440000,90.000000,top
"C702","100n/50V X7R","C_0805_2012Metric",11.500000,-143.440000,90.000000,top
"C703","100n/50V X7R","C_0805_2012Metric",15.000000,-143.440000,90.000000,top
"C704","100n/50V X7R","C_0805_2012Metric",18.500000,-143.440000,90.000000,top
"C705","100n/50V X7R","C_0805_2012Metric",22.000000,-143.440000,90.000000,top
"C706","100n/50V X7R","C_0805_2012Metric",25.500000,-143.440000,90.000000,top
"C707","100n/50V X7R","C_0805_2012Metric",29.000000,-143.440000,90.000000,top
"C708","100n/50V X7R","C_0805_2012Metric",32.500000,-143.440000,90.000000,top
"C709","100n/50V X7R","C_0805_2012Metric",36.000000,-143.440000,90.000000,top
"C710","100n/50V X7R","C_0805_2012Metric",39.500000,-143.440000,90.000000,top
"C711","100n/50V X7R","C_0805_2012Metric",43.000000,-143.440000,90.000000,top
"C712","100n/50V X7R","C_0805_2012Metric",46.500000,-143.440000,90.000000,top
"C713","100n/50V X7R","C_0805_2012Metric",8.000000,-147.440000,90.000000,top
"C714","100n/50V X7R","C_0805_2012Metric",11.500000,-147.440000,90.000000,top
"C715","100n/50V X7R","C_0805_2012Metric",15.000000,-147.440000,90.000000,top
"C716","100n/50V X7R","C_0805_2012Metric",18.500000,-147.440000,90.000000,top
"C717","100n/50V X7R","C_0805_2012Metric",22.000000,-147.440000,90.000000,top
"C718","100n/50V X7R","C_0805_2012Metric",25.500000,-147.440000,90.000000,top
"C719","100n/50V X7R","C_0805_2012Metric",29.000000,-147.440000,90.000000,top
"C720","100n/50V X7R","C_0805_2012Metric",32.500000,-147.440000,90.000000,top
"C721","100n/50V X7R","C_0805_2012Metric",36.000000,-147.440000,90.000000,top
"C722","100n/50V X7R","C_0805_2012Metric",39.500000,-147.440000,90.000000,top
"C723","100n/50V X7R","C_0805_2012Metric",43.000000,-147.440000,90.000000,top
"C724","100n/50V X7R","C_0805_2012Metric",46.500000,-147.440000,90.000000,top
"C801","100n/50V X7R","C_0805_2012Metric",22.000000,-127.440000,90.000000,top
"C802","10u/16V X7R","C_1210_3225Metric",26.000000,-127.440000,90.000000,top
"C803","100n/50V X7R","C_0805_2012Metric",30.000000,-127.440000,90.000000,top
"C805","2n2/50V C0G","C_0805_2012Metric",40.000000,-167.440000,90.000000,top
"C806","1u/16V X7R","C_0805_2012Metric",52.000000,-167.440000,90.000000,top
"C807","10u/50V X7R","C_1210_3225Metric",32.729999,-201.259999,90.000000,top
"C808","10u/50V X7R","C_1210_3225Metric",36.530000,-201.259999,90.000000,top
"C809","100n/50V X7R","C_0805_2012Metric",39.710000,-201.259999,90.000000,top
"C810","470n/50V X7R","C_0805_2012Metric",53.160000,-194.529999,0.000000,top
"C811","10u/50V X7R","C_1210_3225Metric",71.089999,-201.259999,90.000000,top
"C812","10u/50V X7R","C_1210_3225Metric",77.389999,-201.259999,90.000000,top
"C813","10u/50V X7R","C_1210_3225Metric",81.189999,-201.259999,90.000000,top
"C814","10u/16V X7R","C_1210_3225Metric",99.489999,-201.259999,90.000000,top
"C815","1u/16V X7R","C_0805_2012Metric",84.000000,-130.940000,90.000000,top
"C816","1u/16V X7R","C_0805_2012Metric",84.000000,-143.940000,90.000000,top
"C817","100n/50V X7R","C_0805_2012Metric",68.000000,-130.940000,90.000000,top
"C818","100n/50V X7R","C_0805_2012Metric",72.000000,-130.940000,90.000000,top
"C819","100n/50V X7R","C_0805_2012Metric",76.000000,-130.940000,90.000000,top
"C835","100n/50V X7R","C_0805_2012Metric",18.750000,-192.420000,90.000000,top
"C836","100n/50V X7R","C_0805_2012Metric",28.000000,-186.049999,90.000000,top
"C837","100n/50V X7R","C_0805_2012Metric",43.000000,-186.049999,90.000000,top
"C838","100n/50V X7R","C_0805_2012Metric",52.000000,-186.049999,90.000000,top
"C840","4u7/50V X7R","C_1210_3225Metric",52.000000,-190.649999,90.000000,top
"C841","100n/50V X7R","C_0805_2012Metric",48.000000,-190.649999,90.000000,top
"C842","100n/50V X7R","C_0805_2012Metric",58.000000,-186.149999,90.000000,top
"C843","22u/16V X5R","C_1210_3225Metric",73.100000,-190.649999,90.000000,top
"D151","1N4148W","D_SOD-123",60.000000,-71.720000,90.000000,top
"D152","1N4148W","D_SOD-123",65.000000,-71.720000,90.000000,top
"D251","1N4148W","D_SOD-123",60.000000,-79.340000,90.000000,top
"D252","1N4148W","D_SOD-123",65.000000,-79.340000,90.000000,top
"D351","1N4148W","D_SOD-123",60.000000,-86.960000,90.000000,top
"D352","1N4148W","D_SOD-123",65.000000,-86.960000,90.000000,top
"D451","1N4148W","D_SOD-123",60.000000,-94.580000,90.000000,top
"D452","1N4148W","D_SOD-123",65.000000,-94.580000,90.000000,top
"D551","1N4148W","D_SOD-123",60.000000,-102.200000,90.000000,top
"D552","1N4148W","D_SOD-123",65.000000,-102.200000,90.000000,top
"D651","1N4148W","D_SOD-123",60.000000,-109.820000,90.000000,top
